imdbId,tvdbId,tmdbId
tt0013486,19511,53429
tt0239206,208441,2751
tt0438575,74620,31073
tt1480648,105671,57458
tt0050714,37117,35847
tt0066959,56035,185399
tt0086000,193597,323863
tt0102392,96027,47207
tt0432762,46348,115955
tt0064064,17842,3171
tt0215685,22473,39005
tt0008759,224225,292475
tt0406501,36895,152611
tt0218871,16378,1568
tt0023578,25617,50907
tt0059631,68157,32323
tt0008874,44765,45838
tt0228397,101423,108285
tt0227420,100852,106031
tt0048363,77506,84820
tt0016359,51086,253725
tt0278123,,193851
tt1174943,,449384
tt0419580,,1307283
tt1603847,211759,44303
tt0061766,75332,19001
tt0822815,,901340
tt0009256,212936,53636
tt0434157,,284959
tt0282029,197026,99163
tt0018396,48451,263895
tt0057508,,5649
tt0143185,237526,623920
tt0434628,,937413
tt0332445,,578592
tt1753423,122651,189409
tt0035634,,236874
tt0022724,52683,101809
tt0403900,,351654
tt0014081,219515,175730
tt0321780,34299,23984
tt0005910,34491,52276
tt0254416,,939607
tt1199631,178191,28556
tt0003302,223714,266595
tt0192560,242006,623877
tt0022387,81889,81108
tt0375863,,946766
tt0006150,219400,174138
tt0331189,34384,18411
tt0235014,220383,189583
tt1234259,106357,197754
tt1240407,,934038
tt1029161,71244,55825
tt1265707,,918520
tt0072370,,243394
tt2731896,,595690
tt0141156,,944964
tt0419174,113062,85815
tt2211602,38497,176533
tt1037996,121023,176788
tt0043497,,1231524
tt0038825,,240420
tt0222386,,1280376
tt0367540,,1047975
tt0224603,,941319
tt0002064,196268,406587
tt0399748,267983,418142
tt3071532,76246,220809
tt3343116,,265775
tt0956169,,901133
tt0003232,,139247
tt0900980,,1139358
tt0277236,,174673
tt0079656,232483,244352
tt5707090,,850450
tt0367682,,326055
tt0235368,,698880
tt5574316,,466024
tt1485050,185301,68503
tt10384208,135994,597121
tt7029538,221475,204710
tt10110058,,883168
tt1440150,78176,189111
tt1422704,200235,183935
tt7275708,,681300
tt15788214,,893650
tt0148384,237868,447297
tt21228706,,940822
tt0244705,,47037
tt26446979,,1081988
tt0426009,261163,293431
tt7882180,190164,321082
tt26424745,,1076587
tt26218316,,1085779
tt30495767,,1327628
tt0020152,,190342
tt29045676,,1170463
tt39746699,,1481875
tt17279532,,1046025
tt0097564,15016,45318
tt0001544,83182,84270
tt0051566,90435,49340
tt0005077,27488,53415
tt0352875,54767,38845
tt0000582,67148,113260
tt0115817,177014,220836
tt0452139,,245012
tt0114655,15750,81218
tt1523317,31712,62967
tt0054100,50900,220905
tt0361921,68927,32571
tt0047353,45931,56011
tt0054616,161918,142191
tt0435150,48045,199036
tt0004311,28408,22940
tt0004284,30081,22936
tt0066019,38130,36096
tt0057680,64901,48717
tt0004007,18287,53396
tt0006548,20550,2079
tt0027089,57807,50910
tt0197626,60862,92657
tt0017606,,374161
tt0205905,,47586
tt0008547,125805,419711
tt0439646,154783,95801
tt0166278,111619,141605
tt0208337,243760,283026
tt0000440,102636,108297
tt0051471,66505,46983
tt0820971,179437,116604
tt0135122,69647,49277
tt0133962,185516,32072
tt0269849,250531,249380
tt0161034,142976,257524
tt0003662,100573,125673
tt0001490,,384929
tt2336245,,317060
tt0059746,69346,18950
tt2081271,123676,106051
tt0008231,212954,53728
tt0210224,,887668
tt0009899,46033,38531
tt0054110,,5650
tt0017555,225652,303796
tt2132486,5558,81684
tt0111486,31088,113454
tt0007609,,947659
tt0421867,125553,174907
tt0205903,78469,49463
tt0043734,82394,54470
tt0003103,,787776
tt0415993,222110,212528
tt1337354,213259,56047
tt3914372,281068,389626
tt0059559,,220573
tt0013872,,175733
tt0158214,46988,49454
tt0006296,55929,174139
tt0493001,,40536
tt0816714,265658,491524
tt0035366,34235,236838
tt0007075,,351734
tt0002459,,932414
tt0008620,224208,281803
tt0956253,,945328
tt0111338,,244877
tt0052086,203861,199132
tt0257839,61820,179537
tt2645066,87593,259061
tt0458034,,822817
tt0348677,,941311
tt0002253,223656,491942
tt1295071,11833,16440
tt0002176,47554,127110
tt0002591,,303841
tt0007336,,901349
tt1975105,115460,143356
tt0281343,51886,498588
tt0113084,,371397
tt0227326,,448466
tt2082192,,1324148
tt4421754,179147,365932
tt0459917,,1500519
tt3147290,38310,238469
tt0014360,,945865
tt0002206,220747,193859
tt0112329,234921,253593
tt0112484,88479,246702
tt0311872,,1231962
tt8897710,,504702
tt0888700,163654,226412
tt5053580,,477021
tt9299300,,1405344
tt0190354,116988,48143
tt3585422,,412585
tt31546957,,1026480
tt15382554,,1026480
tt2018130,,86328
tt0000218,102449,114128
tt0082209,82798,90781
tt0306461,212424,49646
tt0011541,14550,23282
tt0020979,44012,50928
tt0000132,55412,104460
tt0040763,80464,107881
tt0113676,38623,17704
tt0000447,32340,44341
tt0012618,104996,175395
tt0025873,26105,50908
tt0080694,98244,31753
tt0004518,36638,53391
tt0013845,74169,176272
tt0166868,,48788
tt0219414,,47233
tt0027693,34758,51377
tt0075863,59514,150843
tt0021755,30837,48756
tt0108498,104552,112620
tt0223725,79194,189600
tt1687221,8976,72660
tt0058242,101536,36893
tt0219316,,49303
tt1612582,181953,119959
tt0331068,90854,13444
tt0200470,,760102
tt0008866,94545,174879
tt0191022,,945030
tt0340117,,940942
tt0191220,,942258
tt0211076,,58956
tt0401664,,1290490
tt0001808,,1641060
tt0274221,,944843
tt0166859,212323,48786
tt0276048,181824,163046
tt0003969,55644,132541
tt0022632,,550889
tt0035088,52693,100255
tt0912587,138602,112138
tt0248877,,95362
tt0471236,200540,190657
tt0060810,105376,46796
tt1621975,191075,193504
tt0440972,57907,32539
tt0037439,48218,224766
tt1543272,102575,47618
tt0036555,228300,240367
tt0003938,,1137403
tt1019411,,698091
tt0001154,,929490
tt0956137,,945195
tt0376300,,934351
tt0326289,219406,174197
tt0434437,,936020
tt0157176,114612,255749
tt0331501,,937187
tt1056139,,291058
tt0020616,,329649
tt2436908,,233011
tt1849204,200537,147971
tt13189146,,874040
tt0867415,45783,5249
tt0002617,,1006220
tt0200062,242916,286336
tt0001995,,1203010
tt1543748,,854052
tt3838700,84469,289280
tt4107790,,441946
tt0415044,,934048
tt0407947,,76458
tt0378476,125738,322822
tt1949206,215795,102259
tt0006407,223917,676320
tt0239350,247638,342504
tt0773152,,946827
