imdbId,tvdbId,tmdbId,tvmazeId
tt0185103,76779,4656,802
tt0227972,75640,1549,803
tt2659152,374470,46707,16753
tt2359548,377596,46706,16909
tt0321014,,395,27906
tt0423767,,1624,27903
tt1300145,273412,83818,27907
tt1601141,144541,31991,2266
tt7528604,,82779,
tt8134736,,78314,
tt9863496,,86361,
tt9652902,358410,87758,76891
tt7211494,,98725,
tt24083664,429695,214686,
tt15791630,414093,154521,59888
tt15823360,,233633,68648
tt22688938,,228944,
tt26676209,256853,239935,8986
tt29010395,439287,233669,
tt27790130,437217,230815,69943
tt11102670,378940,133136,46850
tt1275297,277804,7695,
tt31852761,450843,262969,80171
tt31844701,448509,250361,76002
tt31408298,448028,253028,78710
tt33040785,440448,245684,79067
tt27561741,449594,249753,75470
tt27541796,442383,239139,66404
tt36283938,462180,287618,
tt38286519,,298595,
tt28665756,438387,232748,70658
tt36590412,,315733,
tt31502439,,260681,
tt42543947,478186,322430,92002
tt16044540,,136396,
tt0367279,72173,4589,321
tt4546568,284209,5092,3480
tt2185037,248870,33238,3479
tt2130271,333938,98557,4371
tt0314226,84717,89846,
tt0076943,,49728,
tt1210018,125141,77038,
tt0165645,152981,42205,
tt0495641,,318741,
tt0809488,,39651,
tt1341047,152321,74228,
tt0893548,,89111,
tt0104350,,71752,28242
tt0060329,189581,101393,
tt0091174,,72621,
tt0092367,,226288,
tt0260595,285432,91358,
tt1320320,87771,75179,11542
tt1461312,123411,33466,1024
tt0118392,,105264,
tt0272268,,318694,
tt0088635,191011,65484,
tt0404587,272505,236105,
tt0953296,,303696,
tt1602135,197461,65231,
tt1118040,,59945,
tt0095225,,47533,
tt0335187,,99703,
tt0371854,267330,61131,
tt0845648,,77388,44762
tt0084919,272215,9126,49750
tt10407916,,280122,
tt1611715,273527,105255,
tt1773188,,77970,25337
tt0448424,,86669,
tt0211559,,73648,
tt0077067,273763,75695,
tt0118453,205191,47093,50847
tt0370987,,115294,
tt0158423,194651,72623,
tt0103171,273968,47677,
tt0284503,,303689,
tt0094611,,124632,
tt0473571,,43259,
tt0097041,,59694,
tt0178361,,40021,
tt0186948,,31031,
tt1264363,140561,31768,23242
tt0316977,339801,17107,
tt5830218,280109,33773,26193
tt2358586,,75673,10446
tt0282040,,47016,
tt0093862,,48730,
tt0247896,266808,75712,57581
tt0283181,83706,8943,
tt0189593,252852,213946,
tt0103471,226981,43477,51145
tt1991897,255053,43750,23349
tt0379029,,49192,
tt0096460,,47235,
tt0101029,303768,74148,
tt0119795,,47616,
tt1508372,280505,74229,
tt5690116,,201259,
tt0845829,,56509,
tt0076981,289586,40163,30222
tt0439404,294753,25120,
tt0163460,,60583,
tt0091397,,124863,
tt0163505,190911,76273,
tt0449030,,48391,
tt0080993,,250660,
tt3119350,,88723,
tt2315850,267660,56242,5746
tt3068894,287695,61689,650
tt0488057,,17241,
tt0068644,,39770,
tt0384747,,324296,
tt4863504,309039,71594,14516
tt0196256,,101826,
tt0181216,,81891,
tt1358383,84007,28209,7368
tt0083198,,49130,
tt9008358,,82187,49646
tt0077725,,318718,
tt10042074,,88959,47875
tt1521183,,90233,
tt0101079,,106506,
tt0062689,,61999,46686
tt0077039,,311103,
tt0103366,,90466,
tt0069624,,283032,
tt10777644,,46735,
tt18289696,416980,158174,
tt27744576,421766,203508,63335
tt26766489,431664,220783,
tt28262225,,256527,
tt0259893,,43508,
tt0102212,,47538,
tt1020991,,58979,
tt36599902,,289353,
tt0461708,296707,29479,
tt0057982,,13473,
tt0094791,80540,25397,18557
tt0095252,,48542,
tt0175396,,77223,
tt0092659,285398,47236,
tt0163960,253944,77080,
tt0475800,,72081,
tt1688640,281103,227444,
tt1306958,,57399,
tt0066653,254147,308571,
tt0287846,,17716,
tt0098788,,214514,
tt2079826,253233,81781,
tt0377804,,8826,
tt0780362,79582,13851,2359
tt0286989,,105226,
tt1219817,166091,7171,3888
tt0053501,253950,229920,
tt0097553,304934,76558,
tt0158466,,5875,
tt2094220,253534,68558,
tt1298818,275207,75843,
tt0101577,85483,16623,37935
tt0377158,322051,246743,
tt0088693,,42553,37959
tt0111940,,130564,
tt0083855,,17158,
tt0360284,,118664,47300
tt0277106,,99891,
tt1527160,,72422,
tt0088536,281686,35244,24257
tt2024052,,82478,
tt0081926,281262,114265,49430
tt2074875,253267,43443,
tt0085932,278702,43182,35207
tt0307827,,80536,
tt1321867,,43491,
tt0326465,,117037,
tt2057069,,250029,
tt2328749,,59646,
tt0173558,,84875,
tt0090802,,18133,
tt1146439,,19090,
tt0369084,,77972,29938
tt0075867,,15016,
tt0228157,,20538,
tt2277932,274228,128792,12241
tt0258351,,204705,
tt0080733,,19769,
tt0383175,388037,318086,50215
tt0302240,,49098,
tt0095531,,48827,
tt0358594,,16499,
tt0374053,,50981,
tt0081190,,16170,
tt0100209,,47225,
tt0221768,,210583,
tt0243517,,41884,
tt0057453,,9592,
tt0491807,253099,11634,
tt0286394,,34863,
tt0065534,,43452,
tt0095678,,47231,
tt0328290,302181,20840,
tt0290273,,41949,
tt0383046,,47803,
tt0100923,,47226,
tt7510728,,202132,
tt0259786,,73412,
tt0285393,,57745,
tt3277592,,64703,
tt32393496,337155,154171,
tt8726338,,77781,17634
tt0092081,,47769,
tt0213668,,39117,
tt0382465,,21140,22964
tt0094462,316149,38940,50691
tt0105998,265357,48904,
tt0393403,,99590,
tt0084289,,31008,
tt0213808,302307,62784,
tt5833846,,70541,34827
tt5680698,,129758,
tt4610114,,77288,
tt6031834,,101984,54971
tt0192122,,43461,
tt0159892,,29954,22462
tt0302244,,316425,
tt9065432,,82832,
tt1441403,,214407,
tt0089653,,48331,
tt14179230,392507,211894,
tt0083463,,64266,
tt0079294,,49423,
tt0213073,,55937,
tt0084525,,31043,
tt0091984,,31048,
tt0071108,,43685,
tt0092337,83044,42699,
tt0435100,260885,42693,
tt1878805,261656,40204,1041
tt0208629,80961,7389,5004
tt0469854,260886,75686,
tt0092316,84073,9115,8130
tt0074462,,47940,
tt0167565,90531,32166,6140
tt0094982,83044,42699,
tt0765458,79988,4475,5072
tt0181199,132021,20658,18944
tt0240628,,47028,
tt0377972,,46946,
tt0118493,103781,73755,
tt0097700,,21300,
tt0430484,79374,6132,
tt1178622,,23731,54267
tt0117523,,56468,
tt0097454,,91359,
tt0073957,102951,115635,11594
tt1911663,,43732,
tt1700257,,256515,
tt0464129,296708,201245,
tt0111033,,39788,
tt0423651,82183,13812,6723
